display_id,assigned_tag_id,assigned_primary_tag,confidence,agent_reason,question_stem
"QUAD-040","tag_ma_quadratic_4","Location of Roots","Medium","Reasoning about whether a root lies in (-1,0) or (0,1) and consequences for the geometric mean.","For $0 < c < b < a$, let $(a+b-2c)x^2 + (b+c-2a)x + (c+a-2b) = 0$ and $\alpha \neq 1$ be one of its root. Then, among the two statements (I) If $\alph"
"QUAD-041","tag_ma_quadratic_2","Conditions on Roots & Discriminant","Medium","Range of x where the equation holds for triangle sides comes from a discriminant/sign condition.","Let $a, b, c$ be the length of three sides of a triangle satisfying the condition $(a^2 + b^2)x^2 - 2b(a+c)x + (b^2 + c^2) = 0$. If the set of all pos"
"QUAD-042","tag_ma_quadratic_1","Relation between Roots & Coefficients","High","Uses 1/alpha + 1/beta and (alpha-beta)^2 via sum and product of roots with the GP condition.","Let $\alpha$ and $\beta$ be the roots of the equation $px^2 + qx - r = 0$, where $p \neq 0$. If $p, q$ and $r$ be the consecutive terms of a non-const"
"QUAD-043","tag_ma_quadratic_6","Newton's Formula","High","Ratio of power sums a^n + b^n simplified using the recurrence from the equation.","If $a$ and $b$ are the roots of the equation $x^2 - 7x - 1 = 0$, then the value of $\frac{a^{21} + b^{21} + a^{17} + b^{17}}{a^{19} + b^{19}}$ is equa"
"QUAD-044","tag_ma_quadratic_6","Newton's Formula","High","Combination of power sums alpha^n + beta^n reduced via the recurrence.","Let $\alpha, \beta$ be the roots of the quadratic equation $x^2 + \sqrt{6}x + 3 = 0$. Then $\frac{\alpha^{23} + \beta^{23} + \alpha^{14} + \beta^{14}}"
"QUAD-045","tag_ma_quadratic_6","Newton's Formula","High","alpha^14 + beta^14 evaluated by iterating the power-sum recurrence.","Let $\alpha, \beta$ be the roots of the equation $x^2 - \sqrt{2}x + 2 = 0$. Then $\alpha^{14} + \beta^{14}$ is equal to"
"QUAD-046","tag_ma_quadratic_7","Equations with Piecewise Functions","High","Equation x|x| - 5|x+2| + 6 = 0 involves moduli, solved by cases.","The number of real roots of the equation $x|x| - 5|x + 2| + 6 = 0$, is"
"QUAD-047","tag_ma_quadratic_7","Equations with Piecewise Functions","High","Equation |x|^2 - 2|x| + |lambda-3| = 0 is a quadratic in |x|.","Let $\lambda \in \mathbb{R}$ and let the equation $E$ be $|x|^2 - 2|x| + |\lambda - 3| = 0$. Then the largest element in the set $S = \{x + \lambda : "
"QUAD-048","tag_ma_quadratic_1","Relation between Roots & Coefficients","High","Uses alpha^4 + beta^4 expressed through sum and product to solve for the parameter a.","Let $a \in \mathbb{R}$ and let $\alpha, \beta$ be the roots of the equation $x^2 + 60^{\frac{1}{4}}x + a = 0$. If $\alpha^4 + \beta^4 = -30$, then the"
"QUAD-049","tag_ma_quadratic_8","N Degree Equations","Medium","Irrational (radical) equation reduced by squaring/factoring to lower-degree forms.","The number of real roots of the equation $\sqrt{x^2 - 4x + 3} + \sqrt{x^2 - 9} = \sqrt{4x^2 - 14x + 6}$, is:"
"QUAD-050","tag_ma_quadratic_1","Relation between Roots & Coefficients","Medium","Reciprocals of roots from two quadratics set in A.P., using sum/product relations.","Let $a, b$ be two non-zero real numbers. If $p$ and $r$ are the roots of the equation $x^2 - 8ax + 2a = 0$ and $q$ and $s$ are the roots of the equati"
"QUAD-051","tag_ma_quadratic_1","Relation between Roots & Coefficients","High","After simplifying coefficients, forms a new quadratic from transformed roots alpha + 1/beta via Vieta.","If $\alpha, \beta$ are the roots of the equation $x^2 - (5 + 3^{\sqrt{\log_3 5}} - 5^{\sqrt{\log_5 3}})x + 3(3^{\log_3 5})^{\frac{1}{3}} - 5^{(\log_5 "
"QUAD-052","tag_ma_quadratic_8","N Degree Equations","Medium","Rational (fraction) equation cleared to a polynomial reducible to quadratic factors.","The sum of all real values of $x$ for which $\frac{3x^2 - 9x + 17}{x^2 + 3x + 10} = \frac{5x^2 - 7x - 19}{3x^2 + 5x - 12}$ is equal to ______."
"QUAD-053","tag_ma_quadratic_1","Relation between Roots & Coefficients","Medium","Builds coefficients a,b of a second quadratic from symmetric functions of the first's roots, then judges the third equation.","Let $\alpha, \beta$ be the roots of the equation $x^2 - \sqrt{2}x + \sqrt{6} = 0$ and $\frac{1}{\alpha^2} + 1$, $\frac{1}{\beta^2} + 1$ be the roots o"
"QUAD-054","tag_ma_quadratic_6","Newton's Formula","High","Pn = alpha^n - beta^n manipulated through the recurrence to simplify the ratio.","Let $\alpha, \beta (\alpha > \beta)$ be the roots of the quadratic equation $x^2 - x - 4 = 0$. If $P_n = \alpha^{n} - \beta^{n}, n \in \mathbb{N}$, th"
"QUAD-055","tag_ma_quadratic_1","Relation between Roots & Coefficients","High","Sum of squared reciprocals fixes lambda, then alpha^3 + beta^3 from sum and product.","If the sum of the squares of the reciprocals of the roots $\alpha$ and $\beta$ of the equation $3x^2 + \lambda x - 1 = 0$ is $15$, then $6(\alpha^3 + "
"QUAD-056","tag_ma_quadratic_1","Relation between Roots & Coefficients","High","Symmetric functions p+q and p^4+q^4 used to evaluate (1/p + 1/q)^-2 via sum and product.","If $p$ and $q$ are real number such that $p + q = 3, p^4 + q^4 = 369$, then the value of $(\frac{1}{p} + \frac{1}{q})^{-2}$ is equal to ______."
"QUAD-057","tag_ma_quadratic_5","Common Roots","High","Two quadratics share the common root alpha; condition beta+gamma fixes lambda.","Let $\alpha, \beta$ be the roots of the equation $x^2 - 4\lambda x + 5 = 0$ and $\alpha, \gamma$ be the roots of the equation $x^2 - (3\sqrt{2} + 2\sq"
"QUAD-058","tag_ma_quadratic_1","Relation between Roots & Coefficients","Medium","Determines the quadratic from given conditions and finds the sum of roots via Vieta.","Let $f(x)$ be a quadratic polynomial such that $f(-2) + f(3) = 0$. If one of the roots of $f(x) = 0$ is $-1$, then the sum of the roots of $f(x) = 0$ "
"QUAD-059","tag_ma_quadratic_8","N Degree Equations","Medium","Biquadratic 1 + x^2 + x^4 = 0 (quadratic in x^2) whose root powers are evaluated cyclically.","Let $\alpha$ be a root of the equation $1 + x^2 + x^4 = 0$. Then the value of $\alpha^{1011} + \alpha^{2022} - \alpha^{3033}$ is equal to:"
"QUAD-060","tag_ma_quadratic_2","Conditions on Roots & Discriminant","Medium","After clearing fractions the no-real-root condition is a discriminant < 0 inequality in k.","The sum of all integral values of $k(k \neq 0)$ for which the equation $\frac{2}{x-1} - \frac{1}{x-2} = \frac{2}{k}$ in $x$ has no real roots, is ____"
"QUAD-061","tag_ma_quadratic_5","Common Roots","High","Two quadratics share the common root alpha; eliminating it gives the required value.","Let $\lambda \neq 0$ be in $R$. If $\alpha$ and $\beta$ are the roots of the equation $x^2 - x + 2\lambda = 0$, and $\alpha$ and $\gamma$ are the root"
"QUAD-062","tag_ma_quadratic_8","N Degree Equations","High","Substituting u = 3x^2+4x+3 and v = 3x^2+4x+2 reduces it to a quadratic in u/v, then real-root condition.","The set of all values of $k > -1$, for which the equation $(3x^2 + 4x + 3)^2 - (k + 1)(3x^2 + 4x + 3)(3x^2 + 4x + 2) + k(3x^2 + 4x + 2)^2 = 0$ has rea"
"QUAD-063","tag_ma_quadratic_6","Newton's Formula","Medium","Evaluating alpha^96(alpha^12-1)+beta^96(...) relies on power sums driven by the root recurrence.","If $\alpha$ and $\beta$ are the distinct roots of the equation $x^2 + (3)^{\frac{1}{4}}x + 3^{\frac{1}{2}} = 0$, then the value of $\alpha^{96}(\alpha"
"QUAD-064","tag_ma_quadratic_6","Newton's Formula","High","Pn = alpha^n - beta^n recurrence used to collapse the product/sum expression.","If $\alpha, \beta$ are roots of the equation $x^2 + 5(\sqrt{2})x + 10 = 0$, $\alpha > \beta$ and $P_n = \alpha^n - \beta^n$ for each positive integer "
"QUAD-065","tag_ma_quadratic_6","Newton's Formula","High","alpha^8 + beta^8 computed by iterating the power-sum recurrence.","Let $\alpha, \beta$ be two roots of the equation $x^2 + (20)^{1/4}x + (5)^{1/2} = 0$. Then $\alpha^8 + \beta^8$ is equal to"
"QUAD-066","tag_ma_quadratic_10","Miscellaneous Problems","Medium","Roots of the quadratic are max/min of a trig-exponential expression; primarily a trig optimization feeding Vieta.","Let $\alpha = \max_{x \in R} \{8^{2 \sin 3x} \cdot 4^{4 \cos 3x}\}$ and $\beta = \min_{x \in R} \{8^{2 \sin 3x} \cdot 4^{4 \cos 3x}\}$. If $8x^2 + bx "
"QUAD-067","tag_ma_quadratic_8","N Degree Equations","Medium","Infinite continued fraction is self-referential and reduces to a quadratic in the value.","The value of $4 + \frac{1}{5 + \frac{1}{4 + \frac{1}{5 + \frac{1}{4 + \dots}}}}$ is:"
"QUAD-068","tag_ma_quadratic_8","N Degree Equations","Medium","Infinite continued fraction reduces to a quadratic for its value.","The value of $3 + \frac{1}{4 + \frac{1}{3 + \frac{1}{4 + \dots}}}$ is equal to"
"QUAD-069","tag_ma_quadratic_6","Newton's Formula","High","an = alpha^n - beta^n recurrence simplifies (a10 - 2a8)/(2a9).","Let $\alpha$ and $\beta$ be the roots of $x^2 - 6x - 2 = 0$. If $a_n = \alpha^n - \beta^n$ for $n \geq 1$, then the value of $\frac{a_{10} - 2a_8}{2a_"
"QUAD-070","tag_ma_quadratic_6","Newton's Formula","High","Sn = alpha^n + beta^n satisfies the recurrence 5S(n) + 6S(n-1) - 2S(n-2) = 0.","Let $\alpha$ and $\beta$ be the roots of the equation, $5x^2 + 6x - 2 = 0$. If $S_n = \alpha^n + \beta^n$, $n = 1, 2, 3, \dots$, then"
"QUAD-071","tag_ma_quadratic_1","Relation between Roots & Coefficients","High","Evaluates a symmetric product expression in roots and their reciprocals using Vieta.","If $\alpha$ and $\beta$ are the roots of the equation $x^2 + px + 2 = 0$ and $\frac{1}{\alpha}$ and $\frac{1}{\beta}$ are the roots of the equation $2"
"QUAD-072","tag_ma_quadratic_7","Equations with Piecewise Functions","High","Equation in greatest-integer [x]: [x]^2 + 2[x+2] - 7 = 0.","Let $[t]$ denote the greatest integer $\leq t$. Then the equation in $x$, $[x]^2 + 2[x + 2] - 7 = 0$ has :"
"QUAD-073","tag_ma_quadratic_1","Relation between Roots & Coefficients","Medium","Uses sum/product of roots of both quadratics together with the GP condition to find the ratio.","Let $\alpha$ and $\beta$ be the roots of $x^2 - 3x + p = 0$ and $\gamma$ and $\delta$ be the roots of $x^2 - 6x + q = 0$. If $\alpha, \beta, \gamma, \"
"QUAD-074","tag_ma_quadratic_1","Relation between Roots & Coefficients","High","Evaluates a symmetric expression in the roots using sum and product.","If $\alpha$ and $\beta$ are the roots of the equation, $7x^2 - 3x - 2 = 0$, then the value of $\frac{\alpha}{1-\alpha^2} + \frac{\beta}{1-\beta^2}$ is"
"QUAD-075","tag_ma_quadratic_10","Miscellaneous Problems","Medium","Roots are tan x; tan(alpha+beta) formula combined with Vieta makes it a trigonometry-quadratic mix.","Let $\alpha$ and $\beta$ be two real roots of the equation $(k + 1)\tan^2 x - \sqrt{2} \cdot \lambda \tan x = (1 - k)$, where $k(\neq -1)$ and $\lambd"
"QUAD-076","tag_ma_quadratic_7","Equations with Piecewise Functions","High","Equation contains moduli |3^x - 1| and |3^x - 2|, solved by cases on 3^x.","Let $S$ be the set of all real roots of the equation, $3^x(3^x - 1) + 2 = |3^x - 1| + |3^x - 2|$, then"
"QUAD-077","tag_ma_quadratic_2","Conditions on Roots & Discriminant","Medium","After resolving the log set, the maximum beta for real roots is a discriminant >= 0 condition.","Let $S = \{ \alpha : \log_2 (9^{2 \alpha-4} + 1) - \log_2 (\frac{5}{2} \cdot 3^{2 \alpha-4} + 1) = 2 \}$. Then the maximum value of $\beta$ for which "
"QUAD-078","tag_ma_quadratic_2","Conditions on Roots & Discriminant","High","Irrational conjugate root 2-sqrt(3) forces the second root 2+sqrt(3); a conjugate-root condition.","Let $p, q \in Q$. If $2 - \sqrt{3}$ is a root of the quadratic equation $x^2 + px + q = 0$, then"
"QUAD-079","tag_ma_quadratic_1","Relation between Roots & Coefficients","Medium","Maximizes sum of roots over m, then uses |alpha^3 - beta^3| via sum and product.","If $m$ is chosen in the quadratic equation $(m^2 + 1)x^2 - 3x + (m^2 + 1)^2 = 0$ such that the sum of its roots is greatest, then the absolute differe"
"QUAD-080","tag_ma_quadratic_1","Relation between Roots & Coefficients","Medium","Heavily symmetric: alpha^12+beta^12 and (alpha-beta) expressed through Vieta sum and product.","If $\alpha$ and $\beta$ are the roots of the quadratic equation $x^2 + x\sin\theta - 2\sin\theta = 0$, $\theta \in (0, \frac{\pi}{2})$, then $\frac{\a"
"QUAD-081","tag_ma_quadratic_1","Relation between Roots & Coefficients","Medium","Infinite geometric sums of alpha^r and beta^r evaluated from sum and product of roots.","If $\alpha$ and $\beta$ are the roots of the equation $375x^2 - 25x - 2 = 0$, then $\lim_{n \to \infty} \sum_{r=1}^n \alpha^r + \lim_{n \to \infty} \s"
"QUAD-082","tag_ma_quadratic_6","Newton's Formula","High","alpha^15 + beta^15 computed by iterating the power-sum recurrence.","Let $\alpha$ and $\beta$ be the roots of the equation $x^2 + 2x + 2 = 0$, then $\alpha^{15} + \beta^{15}$ is equal to"
"QUAD-083","tag_ma_quadratic_1","Relation between Roots & Coefficients","High","One root is the cube of the other; combined with sum/product of roots to find k.","If one real root of the quadratic equation $81x^2 + kx + 256 = 0$ is cube of the other root, then a value of $k$ is :"
"QUAD-084","tag_ma_quadratic_1","Relation between Roots & Coefficients","High","Ratio of roots condition lambda + 1/lambda = 1 expressed via sum^2/product.","If $\lambda$ be the ratio of the roots of the quadratic equation in $x$, $3m^2x^2 + m(m - 4)x + 2 = 0$, then the least value of $m$ for which $\lambda"
"QUAD-085","tag_ma_quadratic_2","Conditions on Roots & Discriminant","High","Quadratic > 0 for all x is a discriminant < 0 condition; probability over a then counts cases.","The probability of selecting integers $a \in [-5, 30]$ such that $x^2 + 2(a + 4)x - 5a + 64 > 0$, for all $x \in R$, is:"
"QUAD-086","tag_ma_quadratic_2","Conditions on Roots & Discriminant","Medium","Real x,y in x^2 + 9y^2 - 4x + 3 = 0 found by requiring discriminant >= 0 in each variable.","If $x^2 + 9y^2 - 4x + 3 = 0$, $x, y \in R$, then $x$ and $y$ respectively lie in the intervals"
"QUAD-087","tag_ma_quadratic_3","Max Min Value of Quadratic","High","Minimizes the sum of squares of roots (a quadratic in lambda) via completing the square.","The value of $\lambda$ such that sum of the squares of the roots of the quadratic equation, $x^2 + (3 - \lambda)x + 2 = \lambda$ has the least value i"
"QUAD-088","tag_ma_quadratic_2","Conditions on Roots & Discriminant","High","Equal roots condition (discriminant = 0) with the given side constraints to find a^2 + c^2.","If the equation $a(b - c)x^2 + b(c - a)x + c(a - b) = 0$ has equal roots, where $a + c = 15$ and $b = \frac{36}{5}$, then $a^2 + c^2$ is equal to"
"QUAD-089","tag_ma_quadratic_5","Common Roots","High","Two quadratics share a common real root; eliminating it determines alpha and beta.","If the value of real number $\alpha > 0$ for which $x^2 - 5\alpha x + 1 = 0$ and $x^2 - \alpha x - 5 = 0$ have a common real roots is $\frac{3}{\sqrt{"
"QUAD-090","tag_ma_quadratic_5","Common Roots","High","f(x)=0 and the fourfold composition share a common root, forcing a fixed point of f.","Let $f(x)$ be a quadratic polynomial with leading coefficient $1$ such that $f(0) = p$, $p \neq 0$, and $f(1) = \frac{1}{3}$. If the equations $f(x) ="
"QUAD-091","tag_ma_quadratic_5","Common Roots","High","A root shared between the given quadratic and x^2 - 2x - 8 = 0 yields the ratio.","If for some $p, q, r \in R$, all have positive sign, one of the roots of the equation $(p^2 + q^2)x^2 - 2q(p + r)x + q^2 + r^2 = 0$ is also a root of "
"QUAD-092","tag_ma_quadratic_5","Common Roots","Medium","Repeated root of the first equation is also a root of the second; linking the two equations.","Let $a, b \in R$ be such that the equation $ax^2 - 2bx + 15 = 0$ has repeated root $\alpha$ and if $\alpha$ and $\beta$ are the roots of the equation "
"QUAD-093","tag_ma_quadratic_5","Common Roots","High","Two quadratics share the common root alpha; eliminating it gives the value.","Let $\lambda \neq 0$ be in $R$. If $\alpha$ and $\beta$ are the roots of the equation, $x^2 - x + 2\lambda = 0$ and $\alpha$ and $\gamma$ are the root"
"QUAD-094","tag_ma_quadratic_5","Common Roots","Medium","Repeated root of one equation is also a root of another; a shared-root linkage.","Let $a, b \in R$, $a \neq 0$ be such that the equation, $ax^2 - 2bx + 5 = 0$ has a repeated root $\alpha$, which is also a root of the equation, $x^2 "
"QUAD-095","tag_ma_quadratic_5","Common Roots","High","Common root between two quadratics (with a GP condition) drives the conclusion.","If three distinct numbers $a, b, c$ are in G.P. and the equations $ax^2 + 2bx + c = 0$ and $dx^2 + 2ex + f = 0$ have a common root, then which one of "
"QUAD-096","tag_ma_quadratic_5","Common Roots","High","Common root between alpha x^2 + 2 beta x + gamma = 0 and x^2 + x - 1 = 0.","If $\alpha, \beta$ and $\gamma$ are three consecutive terms of a non-constant G.P. Such that the equations $\alpha x^2 + 2\beta x + \gamma = 0$ and $x"
"QUAD-097","tag_ma_quadratic_4","Location of Roots","High","One root in (1,2) and the other in (2,3) via sign of f at the endpoints.","The number of integral values of $k$, for which one root of the equation $2x^2 - 8x + k = 0$ lies in the interval $(1, 2)$ and its other root lies in "
